,Time,Temp,pH,Conductivity,NH4,Do
0,2019-01-01 00:00:00,17.95,7.5425,4167.5,0.38,6.2925
1,2019-01-01 04:00:00,17.45,7.415,2997.75,0.47,6.1925
2,2019-01-01 08:00:00,17.75,7.4975,4456.25,0.49,6.4275
3,2019-01-01 12:00:00,17.725,7.465,3608.25,0.46,6.3825
4,2019-01-01 16:00:00,17.825,7.49,3432.75,0.44,6.6075
5,2019-01-01 20:00:00,18.35,7.6825,5625.5,0.43,6.8475
6,2019-01-02 00:00:00,17.85,7.6775,6002.5,0.3,6.7075
7,2019-01-02 04:00:00,17.225,7.475,3966.25,0.38,6.385
8,2019-01-02 08:00:00,17.5,7.5325,4348.0,0.43,6.625
9,2019-01-02 12:00:00,17.7407407407407,7.62990740740741,5892.34259259259,0.38,6.72981481481481
10,2019-01-02 16:00:00,17.6685185185185,7.55851851851852,4636.61111111111,0.3816,6.77027777777778
11,2019-01-02 20:00:00,18.2,7.755,6114.5,0.37,6.98
12,2019-01-03 00:00:00,17.975,7.795,7203.5,0.26,6.88
13,2019-01-03 04:00:00,17.2,7.56,2774.75,0.31,6.4325
14,2019-01-03 08:00:00,17.35,7.565,4755.25,0.43,6.62
15,2019-01-03 12:00:00,17.85,7.7325,5557.75,0.33,7.19
16,2019-01-03 16:00:00,17.825,7.6925,4133.25,0.4,7.125
17,2019-01-03 20:00:00,18.375,7.9225,11635.5,0.41,7.345
18,2019-01-04 00:00:00,18.25,7.9175,7344.25,0.27,7.3775
19,2019-01-04 04:00:00,17.65,7.6625,6141.25,0.52,6.8875
20,2019-01-04 08:00:00,17.625,7.575,5601.75,0.45,6.725
21,2019-01-04 12:00:00,18.05,7.7425,5129.25,0.33,6.8975
22,2019-01-04 16:00:00,17.95,7.645,6271.75,0.31,6.5475
23,2019-01-04 20:00:00,18.275,7.8375,8986.75,0.35,6.91
24,2019-01-05 00:00:00,18.275,7.8525,6815.25,0.26,6.9175
25,2019-01-05 04:00:00,17.875,7.6325,5172.25,0.3,6.2475
26,2019-01-05 08:00:00,17.675,7.445,4133.5,0.42,5.96
27,2019-01-05 12:00:00,18.125,7.585,4306.5,0.61,6.1225
28,2019-01-05 16:00:00,18.0,7.4875,4763.25,0.29,5.9875
29,2019-01-05 20:00:00,18.3,7.6925,6142.0,0.24,6.4775
30,2019-01-06 00:00:00,18.275,7.7575,7544.75,0.31,6.7025
31,2019-01-06 04:00:00,17.825,7.5675,5672.5,0.3232,6.0775
32,2019-01-06 08:00:00,17.575,7.3475,3319.0,0.316,5.7675
33,2019-01-06 12:00:00,18.2,7.57,3855.25,0.3108,6.115
34,2019-01-06 16:00:00,18.25,7.515,5510.75,0.3164,6.07
35,2019-01-06 20:00:00,18.275,7.655,6679.0,0.25,6.3875
36,2019-01-07 00:00:00,18.35,7.8025,9483.75,0.41,6.8375
37,2019-01-07 04:00:00,18.125,7.6725,5666.25,0.2,6.3175
38,2019-01-07 08:00:00,17.95,7.425,4135.5,0.27,5.51
39,2019-01-07 12:00:00,18.2879310344828,7.6126724137931,7200.19827586207,0.282,6.12706896551724
40,2019-01-07 16:00:00,18.3,7.5375,5725.75,0.23,5.865
41,2019-01-07 20:00:00,18.325,7.5875,6707.75,0.25,6.0
42,2019-01-08 00:00:00,18.35,7.75,9247.75,0.19,6.6
43,2019-01-08 04:00:00,18.2,7.63,7054.0,0.32,6.1125
44,2019-01-08 08:00:00,18.0,7.3625,4466.25,0.25,5.0625
45,2019-01-08 12:00:00,18.225,7.51,6658.25,0.24,5.52
46,2019-01-08 16:00:00,18.25,7.535,5738.75,0.22,6.02
47,2019-01-08 20:00:00,18.125,7.515,4513.75,0.28,5.8375
48,2019-01-09 00:00:00,18.2,7.6925,8868.0,0.41,6.4775
49,2019-01-09 04:00:00,18.0,7.6225,6927.5,0.16,6.3975
50,2019-01-09 08:00:00,17.975,7.385,4339.25,0.24,5.275
51,2019-01-09 12:00:00,18.275,7.505,5018.75,0.25,5.565
52,2019-01-09 16:00:00,18.4,7.555,5567.5,0.22,5.845
53,2019-01-09 20:00:00,18.325,7.5475,4510.25,0.23,5.8525
54,2019-01-10 00:00:00,18.375,7.7175,9322.25,0.25,6.4875
55,2019-01-10 04:00:00,18.275,7.6575,6311.0,0.2,6.2825
56,2019-01-10 08:00:00,18.375,7.4225,4945.25,0.23,5.0725
57,2019-01-10 12:00:00,18.5,7.465,5301.5,0.27,5.215
58,2019-01-10 16:00:00,18.575,7.52,5436.0,0.21,5.585
59,2019-01-10 20:00:00,18.55,7.4325,6507.0,0.26,5.215
60,2019-01-11 00:00:00,18.475,7.6175,8382.75,0.21,6.005
61,2019-01-11 04:00:00,18.5,7.5975,6184.0,0.18,5.915
